dataset,split,num_experts,validation_proportion,nlpd_single_gp,nlpd_experts,nlpd_phs,nlpd_bhs
autompg,2,2,0.05,0.4139973539008766,0.5563265175797796,0.4569821,0.48346385
autompg,3,2,0.05,0.1568795127239317,0.1909568026866273,0.12144539,0.16870557
autompg,1,2,0.05,0.2204547187933931,0.2937895975913525,0.20353167,0.23270963
autompg,0,2,0.05,0.3432310383897075,0.4255576826737305,0.28496212,0.32973975
autompg,1,4,0.05,0.2204547187933931,0.4345483956095289,0.21922036,0.26001477
autompg,2,4,0.05,0.4139973539008766,0.6117539812471284,0.47245035,0.4682866
autompg,3,4,0.05,0.1568795127239317,0.2899491579624316,0.15377225,0.18833625
autompg,0,4,0.05,0.3432310383897075,0.5402998876143689,0.31216064,0.28629705
autompg,0,6,0.05,0.3432310383897075,0.5370517116054836,0.33100212,0.34203392
autompg,3,6,0.05,0.1568795127239317,0.4176717764629029,0.1326267,0.19091849
autompg,1,6,0.05,0.2204547187933931,0.7093056525770356,0.29753724,0.3129107
autompg,2,6,0.05,0.4139973539008766,1.0840127261556816,0.5884009,0.4797759
autompg,4,2,0.05,0.2569291413867813,0.2555157782498685,0.18083332,0.21572751
autompg,5,2,0.05,0.400113163958702,0.410192098943849,0.33911994,0.32843256
autompg,6,4,0.05,0.6801925526003506,1.0461705423597536,0.60678625,0.576983
autompg,5,4,0.05,0.400113163958702,0.4355281661044249,0.29748777,0.27767086
autompg,6,2,0.05,0.6801925526003506,0.7859026974118959,0.5099482,0.5722986
autompg,4,4,0.05,0.2569291413867813,0.3360053671196438,0.14284016,0.23707028
autompg,7,2,0.05,0.5239591602379335,0.5184370456418717,0.41191602,0.40645254
autompg,6,6,0.05,0.6801925526003506,1.3824241408855444,0.7061351,0.539577
autompg,5,6,0.05,0.400113163958702,0.5882345114543536,0.37070853,0.36762884
autompg,8,2,0.05,0.3692543368123285,0.4321251109406371,0.34280264,0.3045912
autompg,4,6,0.05,0.2569291413867813,0.4753217243150011,0.17515607,0.314196
autompg,7,4,0.05,0.5239591602379335,0.6903417636735661,0.48756638,0.40426674
autompg,7,6,0.05,0.5239591602379335,0.6836757433762974,0.42696103,0.37846312
autompg,9,4,0.05,0.1097656816875652,0.2397771957639669,0.09241169,0.13741657
autompg,8,4,0.05,0.3692543368123285,0.7484386506161096,0.50168353,0.45250723
autompg,9,2,0.05,0.1097656816875652,0.1808480657855933,0.13926925,0.1657654
autompg,8,6,0.05,0.3692543368123285,0.6736617540283634,0.41605958,0.35892394
autompg,9,6,0.05,0.1097656816875652,0.4662625655257982,0.15053253,0.2171802
airfoil,0,2,0.05,0.5630877959986369,0.10383529083752666,-0.009677838,0.02744824
airfoil,2,2,0.05,0.5203764109527803,0.027519272589965012,-0.22864512,-0.11370325
airfoil,3,2,0.05,0.5571377926970016,0.3019306846571875,-0.03475323,0.06722689
airfoil,1,2,0.05,0.5689672416836519,0.04712413040592425,-0.08981501,-0.052527845
airfoil,0,4,0.05,0.5630877959986369,0.36011161158815874,0.14203121,0.21318673
airfoil,3,4,0.05,0.5571377926970016,0.5040328643298253,0.19240664,0.26408738
airfoil,1,4,0.05,0.5689672416836519,0.3820987587793324,0.16186167,0.24609545
airfoil,2,4,0.05,0.5203764109527803,0.21366709866362069,-0.13775711,0.029029729
airfoil,4,2,0.05,0.6549002664535999,0.40964603816932316,0.019106122,0.07531748
airfoil,5,2,0.05,0.5729191380762347,0.0940405342336709,-0.085823804,-0.02645205
airfoil,3,6,0.05,0.5571377926970016,0.6358038190052612,0.31395715,0.38026327
airfoil,6,2,0.05,0.5404750462952596,0.034227178642246316,-0.13763928,-0.037191536
airfoil,1,6,0.05,0.5689672416836519,0.6360381988565708,0.26829466,0.39406204
airfoil,0,6,0.05,0.5630877959986369,0.5279607742052242,0.287615,0.3627423
airfoil,4,4,0.05,0.6549002664535999,0.700092419786924,0.22397263,0.3171464
airfoil,5,4,0.05,0.5729191380762347,0.3289882390157862,0.033105433,0.16900323
airfoil,7,2,0.05,0.598449871693974,0.165966871120777,-0.024565183,0.008509727
airfoil,6,4,0.05,0.5404750462952596,0.3285004647709864,0.11481139,0.20279334
airfoil,8,2,0.05,0.5612628359334735,0.42621788652732917,0.16437043,0.26695043
airfoil,2,6,0.05,0.5203764109527803,0.3953240735725969,0.00028445074,0.21791865
airfoil,9,2,0.05,0.5355516927440952,0.16139261123082646,-0.04509069,0.047871236
airfoil,7,4,0.05,0.598449871693974,0.3873743868025118,0.061577342,0.18199761
airfoil,4,6,0.05,0.6549002664535999,0.9309784860265747,0.4925298,0.56994206
airfoil,5,6,0.05,0.5729191380762347,0.4900267838171284,0.1560256,0.2932334
airfoil,8,4,0.05,0.5612628359334735,0.6136985553171524,0.31882417,0.32080603
airfoil,6,6,0.05,0.5404750462952596,0.4802348208771406,0.15119852,0.29159588
airfoil,9,4,0.05,0.5355516927440952,0.4142175853021523,0.0793645,0.14499995
airfoil,7,6,0.05,0.598449871693974,0.5829716264797709,0.26595974,0.37672678
airfoil,8,6,0.05,0.5612628359334735,0.7119152946104622,0.3661113,0.3957998
airfoil,9,6,0.05,0.5355516927440952,0.549503344026232,0.23617104,0.31383726
