F-value for bike: [3668.59653571], p-value: [6.4898415e-200]
Multiple Comparison of Means - Tukey HSD, FWER=0.05 
====================================================
group1 group2 meandiff p-adj   lower   upper  reject
----------------------------------------------------
     1      2  -0.0016    1.0 -0.0202   0.017  False
     1      3  -0.0014    1.0   -0.02  0.0172  False
     1      4   0.2393    0.0  0.2207  0.2579   True
     1      5   0.2402    0.0  0.2216  0.2588   True
     1      6    0.238    0.0  0.2194  0.2566   True
     1      7     0.59    0.0  0.5714  0.6086   True
     1      8   0.5872    0.0  0.5686  0.6058   True
     1      9   0.5866    0.0   0.568  0.6052   True
     1     10  -0.0235 0.0018 -0.0421 -0.0049   True
     1     11  -0.0233 0.0021 -0.0419 -0.0047   True
     1     12  -0.0224 0.0042  -0.041 -0.0038   True
     1     13   0.1628    0.0  0.1441  0.1814   True
     1     14   0.1633    0.0  0.1447  0.1819   True
     1     15   0.1635    0.0  0.1449  0.1821   True
     1     16   0.4201    0.0  0.4015  0.4387   True
     1     17   0.4204    0.0  0.4018   0.439   True
     1     18   0.4195    0.0  0.4009  0.4381   True
     2      3   0.0002    1.0 -0.0184  0.0188  False
     2      4   0.2409    0.0  0.2223  0.2595   True
     2      5   0.2418    0.0  0.2232  0.2604   True
     2      6   0.2396    0.0   0.221  0.2582   True
     2      7   0.5916    0.0   0.573  0.6102   True
     2      8   0.5888    0.0  0.5702  0.6074   True
     2      9   0.5882    0.0  0.5696  0.6068   True
     2     10  -0.0219 0.0062 -0.0405 -0.0033   True
     2     11  -0.0217 0.0071 -0.0403 -0.0031   True
     2     12  -0.0207 0.0132 -0.0394 -0.0021   True
     2     13   0.1644    0.0  0.1458   0.183   True
     2     14    0.165    0.0  0.1464  0.1836   True
     2     15   0.1652    0.0  0.1466  0.1838   True
     2     16   0.4217    0.0  0.4031  0.4403   True
     2     17    0.422    0.0  0.4034  0.4406   True
     2     18   0.4212    0.0  0.4026  0.4398   True
     3      4   0.2407    0.0  0.2221  0.2593   True
     3      5   0.2416    0.0   0.223  0.2602   True
     3      6   0.2394    0.0  0.2208   0.258   True
     3      7   0.5914    0.0  0.5728    0.61   True
     3      8   0.5886    0.0    0.57  0.6072   True
     3      9    0.588    0.0  0.5694  0.6066   True
     3     10  -0.0221 0.0052 -0.0407 -0.0035   True
     3     11  -0.0219  0.006 -0.0405 -0.0033   True
     3     12   -0.021 0.0112 -0.0396 -0.0024   True
     3     13   0.1642    0.0  0.1456  0.1828   True
     3     14   0.1647    0.0  0.1461  0.1833   True
     3     15   0.1649    0.0  0.1463  0.1835   True
     3     16   0.4215    0.0  0.4029  0.4401   True
     3     17   0.4218    0.0  0.4032  0.4404   True
     3     18   0.4209    0.0  0.4023  0.4395   True
     4      5   0.0009    1.0 -0.0177  0.0195  False
     4      6  -0.0013    1.0 -0.0199  0.0173  False
     4      7   0.3507    0.0  0.3321  0.3693   True
     4      8   0.3479    0.0  0.3293  0.3665   True
     4      9   0.3473    0.0  0.3287  0.3659   True
     4     10  -0.2628    0.0 -0.2814 -0.2442   True
     4     11  -0.2626    0.0 -0.2812  -0.244   True
     4     12  -0.2617    0.0 -0.2803 -0.2431   True
     4     13  -0.0765    0.0 -0.0951 -0.0579   True
     4     14   -0.076    0.0 -0.0946 -0.0574   True
     4     15  -0.0757    0.0 -0.0944 -0.0571   True
     4     16   0.1808    0.0  0.1622  0.1994   True
     4     17   0.1811    0.0  0.1625  0.1997   True
     4     18   0.1802    0.0  0.1616  0.1989   True
     5      6  -0.0022    1.0 -0.0208  0.0164  False
     5      7   0.3498    0.0  0.3312  0.3684   True
     5      8    0.347    0.0  0.3284  0.3656   True
     5      9   0.3464    0.0  0.3278   0.365   True
     5     10  -0.2637    0.0 -0.2823 -0.2451   True
     5     11  -0.2635    0.0 -0.2821 -0.2449   True
     5     12  -0.2626    0.0 -0.2812  -0.244   True
     5     13  -0.0774    0.0  -0.096 -0.0588   True
     5     14  -0.0768    0.0 -0.0955 -0.0582   True
     5     15  -0.0766    0.0 -0.0952  -0.058   True
     5     16   0.1799    0.0  0.1613  0.1985   True
     5     17   0.1802    0.0  0.1616  0.1988   True
     5     18   0.1794    0.0  0.1608   0.198   True
     6      7    0.352    0.0  0.3334  0.3706   True
     6      8   0.3492    0.0  0.3306  0.3678   True
     6      9   0.3486    0.0    0.33  0.3672   True
     6     10  -0.2615    0.0 -0.2801 -0.2429   True
     6     11  -0.2613    0.0 -0.2799 -0.2427   True
     6     12  -0.2604    0.0  -0.279 -0.2417   True
     6     13  -0.0752    0.0 -0.0938 -0.0566   True
     6     14  -0.0746    0.0 -0.0933  -0.056   True
     6     15  -0.0744    0.0  -0.093 -0.0558   True
     6     16   0.1821    0.0  0.1635  0.2007   True
     6     17   0.1824    0.0  0.1638   0.201   True
     6     18   0.1816    0.0   0.163  0.2002   True
     7      8  -0.0028    1.0 -0.0214  0.0158  False
     7      9  -0.0034    1.0  -0.022  0.0152  False
     7     10  -0.6135    0.0 -0.6321 -0.5949   True
     7     11  -0.6133    0.0 -0.6319 -0.5947   True
     7     12  -0.6124    0.0  -0.631 -0.5938   True
     7     13  -0.4272    0.0 -0.4458 -0.4086   True
     7     14  -0.4267    0.0 -0.4453 -0.4081   True
     7     15  -0.4265    0.0 -0.4451 -0.4079   True
     7     16  -0.1699    0.0 -0.1885 -0.1513   True
     7     17  -0.1696    0.0 -0.1882  -0.151   True
     7     18  -0.1705    0.0 -0.1891 -0.1519   True
     8      9  -0.0006    1.0 -0.0192   0.018  False
     8     10  -0.6107    0.0 -0.6293 -0.5921   True
     8     11  -0.6105    0.0 -0.6291 -0.5919   True
     8     12  -0.6096    0.0 -0.6282 -0.5909   True
     8     13  -0.4244    0.0  -0.443 -0.4058   True
     8     14  -0.4238    0.0 -0.4425 -0.4052   True
     8     15  -0.4236    0.0 -0.4422  -0.405   True
     8     16  -0.1671    0.0 -0.1857 -0.1485   True
     8     17  -0.1668    0.0 -0.1854 -0.1482   True
     8     18  -0.1676    0.0 -0.1862  -0.149   True
     9     10  -0.6101    0.0 -0.6287 -0.5915   True
     9     11  -0.6099    0.0 -0.6285 -0.5913   True
     9     12   -0.609    0.0 -0.6276 -0.5904   True
     9     13  -0.4238    0.0 -0.4424 -0.4052   True
     9     14  -0.4233    0.0 -0.4419 -0.4047   True
     9     15  -0.4231    0.0 -0.4417 -0.4044   True
     9     16  -0.1665    0.0 -0.1851 -0.1479   True
     9     17  -0.1662    0.0 -0.1848 -0.1476   True
     9     18  -0.1671    0.0 -0.1857 -0.1484   True
    10     11   0.0002    1.0 -0.0184  0.0188  False
    10     12   0.0011    1.0 -0.0175  0.0197  False
    10     13   0.1863    0.0  0.1677  0.2049   True
    10     14   0.1868    0.0  0.1682  0.2054   True
    10     15    0.187    0.0  0.1684  0.2056   True
    10     16   0.4436    0.0   0.425  0.4622   True
    10     17   0.4439    0.0  0.4253  0.4625   True
    10     18    0.443    0.0  0.4244  0.4616   True
    11     12   0.0009    1.0 -0.0177  0.0195  False
    11     13   0.1861    0.0  0.1675  0.2047   True
    11     14   0.1866    0.0   0.168  0.2052   True
    11     15   0.1868    0.0  0.1682  0.2054   True
    11     16   0.4434    0.0  0.4248   0.462   True
    11     17   0.4437    0.0  0.4251  0.4623   True
    11     18   0.4428    0.0  0.4242  0.4614   True
    12     13   0.1851    0.0  0.1665  0.2038   True
    12     14   0.1857    0.0  0.1671  0.2043   True
    12     15   0.1859    0.0  0.1673  0.2045   True
    12     16   0.4424    0.0  0.4238  0.4611   True
    12     17   0.4428    0.0  0.4242  0.4614   True
    12     18   0.4419    0.0  0.4233  0.4605   True
    13     14   0.0006    1.0  -0.018  0.0192  False
    13     15   0.0008    1.0 -0.0178  0.0194  False
    13     16   0.2573    0.0  0.2387  0.2759   True
    13     17   0.2576    0.0   0.239  0.2762   True
    13     18   0.2568    0.0  0.2382  0.2754   True
    14     15   0.0002    1.0 -0.0184  0.0188  False
    14     16   0.2567    0.0  0.2381  0.2753   True
    14     17   0.2571    0.0  0.2385  0.2757   True
    14     18   0.2562    0.0  0.2376  0.2748   True
    15     16   0.2565    0.0  0.2379  0.2751   True
    15     17   0.2569    0.0  0.2383  0.2755   True
    15     18    0.256    0.0  0.2374  0.2746   True
    16     17   0.0003    1.0 -0.0183  0.0189  False
    16     18  -0.0005    1.0 -0.0191  0.0181  False
    17     18  -0.0009    1.0 -0.0195  0.0177  False
----------------------------------------------------

F-value for keggdirected: [432.30173686], p-value: [2.1494642e-114]
Multiple Comparison of Means - Tukey HSD, FWER=0.05 
====================================================
group1 group2 meandiff p-adj   lower   upper  reject
----------------------------------------------------
     1      2   0.0002    1.0 -0.0055  0.0058  False
     1      3   0.0005    1.0 -0.0052  0.0061  False
     1      4   0.0192    0.0  0.0136  0.0249   True
     1      5   0.0194    0.0  0.0137   0.025   True
     1      6     0.02    0.0  0.0144  0.0257   True
     1      7   0.0633    0.0  0.0576  0.0689   True
     1      8   0.0621    0.0  0.0565  0.0678   True
     1      9    0.063    0.0  0.0573  0.0686   True
     1     10   -0.003 0.9052 -0.0087  0.0026  False
     1     11   -0.003 0.9043 -0.0087  0.0026  False
     1     12   -0.003  0.902 -0.0087  0.0026  False
     1     13   0.0098    0.0  0.0042  0.0155   True
     1     14   0.0091    0.0  0.0034  0.0147   True
     1     15   0.0095    0.0  0.0038  0.0151   True
     1     16   0.0348    0.0  0.0292  0.0405   True
     1     17   0.0367    0.0   0.031  0.0423   True
     1     18   0.0349    0.0  0.0293  0.0406   True
     2      3   0.0003    1.0 -0.0053   0.006  False
     2      4   0.0191    0.0  0.0134  0.0247   True
     2      5   0.0192    0.0  0.0136  0.0249   True
     2      6   0.0199    0.0  0.0142  0.0255   True
     2      7   0.0631    0.0  0.0574  0.0687   True
     2      8   0.0619    0.0  0.0563  0.0676   True
     2      9   0.0628    0.0  0.0572  0.0685   True
     2     10  -0.0032 0.8631 -0.0088  0.0025  False
     2     11  -0.0032 0.8618 -0.0088  0.0025  False
     2     12  -0.0032 0.8589 -0.0089  0.0025  False
     2     13   0.0097    0.0   0.004  0.0153   True
     2     14   0.0089    0.0  0.0032  0.0146   True
     2     15   0.0093    0.0  0.0037   0.015   True
     2     16   0.0347    0.0   0.029  0.0403   True
     2     17   0.0365    0.0  0.0309  0.0422   True
     2     18   0.0348    0.0  0.0291  0.0404   True
     3      4   0.0188    0.0  0.0131  0.0244   True
     3      5   0.0189    0.0  0.0132  0.0246   True
     3      6   0.0195    0.0  0.0139  0.0252   True
     3      7   0.0628    0.0  0.0571  0.0684   True
     3      8   0.0616    0.0   0.056  0.0673   True
     3      9   0.0625    0.0  0.0569  0.0682   True
     3     10  -0.0035 0.7516 -0.0092  0.0022  False
     3     11  -0.0035   0.75 -0.0092  0.0022  False
     3     12  -0.0035  0.746 -0.0092  0.0021  False
     3     13   0.0094    0.0  0.0037   0.015   True
     3     14   0.0086    0.0  0.0029  0.0142   True
     3     15    0.009    0.0  0.0034  0.0147   True
     3     16   0.0344    0.0  0.0287    0.04   True
     3     17   0.0362    0.0  0.0305  0.0419   True
     3     18   0.0345    0.0  0.0288  0.0401   True
     4      5   0.0001    1.0 -0.0055  0.0058  False
     4      6   0.0008    1.0 -0.0049  0.0064  False
     4      7    0.044    0.0  0.0384  0.0497   True
     4      8   0.0429    0.0  0.0372  0.0485   True
     4      9   0.0437    0.0  0.0381  0.0494   True
     4     10  -0.0223    0.0 -0.0279 -0.0166   True
     4     11  -0.0223    0.0 -0.0279 -0.0166   True
     4     12  -0.0223    0.0 -0.0279 -0.0166   True
     4     13  -0.0094    0.0  -0.015 -0.0037   True
     4     14  -0.0102    0.0 -0.0158 -0.0045   True
     4     15  -0.0097    0.0 -0.0154 -0.0041   True
     4     16   0.0156    0.0  0.0099  0.0213   True
     4     17   0.0174    0.0  0.0118  0.0231   True
     4     18   0.0157    0.0    0.01  0.0213   True
     5      6   0.0006    1.0  -0.005  0.0063  False
     5      7   0.0439    0.0  0.0382  0.0495   True
     5      8   0.0427    0.0  0.0371  0.0484   True
     5      9   0.0436    0.0   0.038  0.0493   True
     5     10  -0.0224    0.0  -0.028 -0.0167   True
     5     11  -0.0224    0.0 -0.0281 -0.0167   True
     5     12  -0.0224    0.0 -0.0281 -0.0168   True
     5     13  -0.0095    0.0 -0.0152 -0.0039   True
     5     14  -0.0103    0.0  -0.016 -0.0047   True
     5     15  -0.0099    0.0 -0.0155 -0.0042   True
     5     16   0.0155    0.0  0.0098  0.0211   True
     5     17   0.0173    0.0  0.0116   0.023   True
     5     18   0.0156    0.0  0.0099  0.0212   True
     6      7   0.0432    0.0  0.0376  0.0489   True
     6      8   0.0421    0.0  0.0364  0.0477   True
     6      9    0.043    0.0  0.0373  0.0486   True
     6     10   -0.023    0.0 -0.0287 -0.0174   True
     6     11   -0.023    0.0 -0.0287 -0.0174   True
     6     12  -0.0231    0.0 -0.0287 -0.0174   True
     6     13  -0.0102    0.0 -0.0158 -0.0045   True
     6     14   -0.011    0.0 -0.0166 -0.0053   True
     6     15  -0.0105    0.0 -0.0162 -0.0049   True
     6     16   0.0148    0.0  0.0092  0.0205   True
     6     17   0.0167    0.0   0.011  0.0223   True
     6     18   0.0149    0.0  0.0093  0.0206   True
     7      8  -0.0011    1.0 -0.0068  0.0045  False
     7      9  -0.0003    1.0 -0.0059  0.0054  False
     7     10  -0.0663    0.0 -0.0719 -0.0606   True
     7     11  -0.0663    0.0 -0.0719 -0.0606   True
     7     12  -0.0663    0.0 -0.0719 -0.0606   True
     7     13  -0.0534    0.0 -0.0591 -0.0478   True
     7     14  -0.0542    0.0 -0.0599 -0.0485   True
